symbol,code,tv_symbol,tv_exchange,tv_code,yahoo_symbol,description,sector,type,subtype,exchange
ZETRIX.KL,ZETRIX,MYX:ZETRIX,MYX,ZETRIX,ZETRIX.KL,Zetrix AI Bhd,Technology Services,stock,common,MYX
SDG.KL,SDG,MYX:SDG,MYX,SDG,SDG.KL,SD Guthrie Bhd,Process Industries,stock,common,MYX
RHBBANK.KL,RHBBANK,MYX:RHBBANK,MYX,RHBBANK,RHBBANK.KL,RHB Bank Bhd.,Finance,stock,common,MYX
MAYBANK.KL,MAYBANK,MYX:MAYBANK,MYX,MAYBANK,MAYBANK.KL,Malayan Banking Bhd.,Finance,stock,common,MYX
PBBANK.KL,PBBANK,MYX:PBBANK,MYX,PBBANK,PBBANK.KL,Public Bank Bhd,Finance,stock,common,MYX
BURSA.KL,BURSA,MYX:BURSA,MYX,BURSA,BURSA.KL,Bursa Malaysia Bhd.,Finance,stock,common,MYX
VITROX.KL,VITROX,MYX:VITROX,MYX,VITROX,VITROX.KL,Vitrox Corp. Bhd.,Electronic Technology,stock,common,MYX
YTLPOWR.KL,YTLPOWR,MYX:YTLPOWR,MYX,YTLPOWR,YTLPOWR.KL,YTL Power International Bhd.,Utilities,stock,common,MYX
CIMB.KL,CIMB,MYX:CIMB,MYX,CIMB,CIMB.KL,CIMB Group Holdings Bhd,Finance,stock,common,MYX
TENAGA.KL,TENAGA,MYX:TENAGA,MYX,TENAGA,TENAGA.KL,Tenaga Nasional Bhd,Utilities,stock,common,MYX
INARI.KL,INARI,MYX:INARI,MYX,INARI,INARI.KL,Inari Amertron Berhad,Electronic Technology,stock,common,MYX
GAMUDA.KL,GAMUDA,MYX:GAMUDA,MYX,GAMUDA,GAMUDA.KL,Gamuda Bhd.,Industrial Services,stock,common,MYX
YTL.KL,YTL,MYX:YTL,MYX,YTL,YTL.KL,YTL Corp Bhd.,Utilities,stock,common,MYX
KGB.KL,KGB,MYX:KGB,MYX,KGB,KGB.KL,Kelington Group Bhd.,Industrial Services,stock,common,MYX
NATGATE.KL,NATGATE,MYX:NATGATE,MYX,NATGATE,NATGATE.KL,Nationgate Holdings Berhad,Electronic Technology,stock,common,MYX
MI.KL,MI,MYX:MI,MYX,MI,MI.KL,Mi Technovation Bhd.,Producer Manufacturing,stock,common,MYX
NOTION.KL,NOTION,MYX:NOTION,MYX,NOTION,NOTION.KL,Notion VTec Bhd.,Producer Manufacturing,stock,common,MYX
TM.KL,TM,MYX:TM,MYX,TM,TM.KL,Telekom Malaysia Bhd.,Communications,stock,common,MYX
CARLSBG.KL,CARLSBG,MYX:CARLSBG,MYX,CARLSBG,CARLSBG.KL,Carlsberg Brewery Malaysia Bhd.,Consumer Non-Durables,stock,common,MYX
FRONTKN.KL,FRONTKN,MYX:FRONTKN,MYX,FRONTKN,FRONTKN.KL,Frontken Corp. Bhd.,Electronic Technology,stock,common,MYX
